Timestamp,Age,Gender,Occupation,Home State,Language,School (If college student),Program enrolled,Factors affecting mental health,Areas of mental health concerns,"Escape Hours: Your Safe Space
A place where little things bring you peace, joy, comfort, helps to recharge, and find happiness.",What's your mental health status?,How would you scale your sensitivity?,"If you鈥檙e not feeling happy, or if you鈥檙e feeling low, what do you think is the biggest key reason behind it?","When you鈥檙e going through tough moments, what kind of comfort or support do you wish for from others?","Have you ever consulted a doctor that you鈥檙e dealing with a mental health issue? If yes, did you take help of medication or professional guidance?",How did you look after yourself and your mental health?,What do you feel now or what's your point of view about life when you have overcome your depressed phase?,If you have faced panic attacks/anxiety attack/other depression symptoms how you have faced it?,Do you find it easy to share your emotions and feelings with others?,If you have used AI platforms to share breakdown moments how did it respond?,"Compared to talking with friends, family, or professionals, how effective do you find AI in providing mental health support?","To what extent do you find AI helpful in managing stress, anxiety, or overall mental health?","If you have experienced bias in AI responses (e.g., stereotypes, insensitive replies based on your gender), please describe it briefly.",What improvement/what way AI should have responded to reach your emotions and thoughts?,Few words you would like to share which might help and encourage others
2025/09/11 8:06:28 pm GMT+5:30,20,Male,Student,Madhya Pradesh,Hindi,Not applicable,B.SC FORENSIC SCIENCE,Friendship/social circles;Unequal freedom in choosing career paths;Financial independence;Media or social representation;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles;Work,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD);Bipolar disorder;Post traumatic stress disorder,I love to spent time with my family and in temple,8,3,I am feeling low because my family live in another city I live in another for studies,I need that my family and friends supports me in my bad phase,No,Overall Good,Feels too good,Yes panic attacks,Maybe,Positively,Less effective,Somewhat helpful,Nope I don't think so I want to say this answer,I have taken rarely help from AI so I can't tell about that,Be strong and make ur mental health strong
2025/09/11 8:11:38 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Financial independence;Work,Stress,Riverside,7,4,Less sleep,Just being there,No,I have a balance,Life isn't that bad,"Breath ,relax and sleep",Yes,Neutral,Less effective,Neutral,None,Haven't gone through it,Everything will resolve at some point
2025/09/11 8:15:32 pm GMT+5:30,18,Female,Student,Haryana,Hindi,SCHOOL OF HEALTH AND MEDICAL SCIENCES,B.SC FORENSIC SCIENCE,Love/Relationship;Friendship/social circles,Anxiety / Panic attacks;Sleep issues;Loneliness;Obsessive compulsive disorder (OCD),Sleep,3,5,Personal issues,Nothing,No,Good,Good,Not sleeping well stress,Maybe,Neutral,Same,Neutral,Nothing,Nothing,Nothing
2025/09/11 8:17:59 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF BASIC AND APPLIED SCIENCES,B.SC FORENSIC SCIENCE,Academic;Family;Friendship/social circles;Health issues;Physical appearance;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Overthinking/isolation/self-worth struggles,Depression;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Phobias;Anger,Friends and family,6,3,My approach to see things,Hugs and long talks,No,Started following Swami Vivekananda's teachings,Everything comes with a lesson and is equally important like the happy moments,Not faced any,Maybe,Neutral,Much Less effective,Not at all helpful,I've never used AI to process my feelings,Not applicable,Read Swami Vivekananda. Listen to positive things and make talking to yourself for even 10mins at the end of the mandatory.
2025/09/11 8:31:11 pm GMT+5:30,20,Female,Student,Madhya Pradesh,Hindi,SCHOOL OF HEALTH AND MEDICAL SCIENCES,B.SC FORENSIC SCIENCE,Academic;Friendship/social circles;Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Stress;Sleep issues,"Home, usually the nights under the sky",6,2,Overthinking of things,"Just the awareness of someone being there for me, to listen, to be patient with me ",No,"Started being physically active, made deeper connections with people, started living in the little moments","Life is tough but it's so beautiful, it's like a hike,hard but the end scene is worth it ","Just being around people more, accepting the situation as is, being physically active has really helped ",No,Positively,Somewhat effective,Somewhat helpful,Experienced none,"AI at the end of the day is not human, I think it's still a long journey for AI to understand complex and deep human emotions ","Hey there! Whoever you are, know that you are worth, you are enough and you are loved, you got this champ!鉂わ笍"
2025/09/11 8:37:14 pm GMT+5:30,20,Female,College student,West Bengal,Bengali,SCHOOL OF EDUCATION,B.A BENGALI LANGUAGE & LITERATURE,Love/Relationship;Societal culture and discrimination;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Anger,Spending time with my mom,8,5,My own decision,Communication skills,No,Better,Cool,Try to be stayed cool,Maybe,Very positively,Less effective,Neutral,Good,Too much good,Just stay on your honesty life and follow the flow
2025/09/11 8:42:39 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,Not applicable,B. TECH COMPUTER SCIENCE ENGINEERING (ARTIFICIAL ENGINEERING & MACHINE LEARNING),Academic;Love/Relationship;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Anger,Music & Film,6,4,overthinking and past memories,Just listen to me (my situation at that moment),No,I take the help of music (sometimes i listen to or sometimes write and compose),accept >>>>>>>>> expect,i try to distract myself(success rate tends to 0),Maybe,Positively,Less effective,Somewhat helpful,not experienced,"should understand my situation, knows my comfort or favorite tasks, and help me out ",Focus and work on urself that will help u grow
2025/09/11 8:48:07 pm GMT+5:30,18,Female,Student,Madhya Pradesh,Hindi,Not applicable,B.SC FORENSIC SCIENCE,Academic;Family;Love/Relationship;Friendship/social circles;Physical appearance;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Low self esteem/motivation;Anger,Peting and playing with animals and babies,5,3,My thoughts and overthinking,Just to be with me and understand me instead of giving advice,No,Sits alone for a while or more,It's good not that bad,"Yes, each of them due to some reasons ",Maybe,Neutral,Less effective,Not very helpful,I never share or talk to any AI platform,I don't much because I never took help of it,Just don't take everything too serious and don't do everything too over just focus on yourself and prioritize yourself above others
2025/09/11 8:54:21 pm GMT+5:30,18,Female,Student,Odisha,Odia,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B.SC FORENSIC SCIENCE,Family;Friendship/social circles;Physical appearance;Double standards in freedom;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Self harm tendencies;Low self esteem/motivation,Helping out others to cope up,4,4,My thoughts,Listening,Consulted doctor but didn't take medication help,Gave myself time to heal,"It can be just a phase of sadness if you want it to be, dont hold onto things and thoughts most of the time they do people worse than the reality itself. Learn to move on and ahead with life. ",I dont think such things can be described in mere words.,Maybe,Neutral,Less effective,Not very helpful,No,"AI can't replace human emotions, nor does it has the EQ like a human, the responses are automated and very much vague. ","No matter what in life, do not think of yourself as a failure or a loser, or someone who has no purpose in life, every life matters, every voice matters so buddy move ahead with life and face it head on you'll be stronger and stronger with time if you allow your mind and soul both to heal. Take your time ease down the pressure and let go. "
2025/09/11 9:01:33 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF BASIC AND APPLIED SCIENCES,B.SC MATHEMATICS,Academic;Love/Relationship;Friendship/social circles;Financial independence;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD),Family,3,5,"Overthinking, loneliness is the biggest key reason behind it.",I wish someone listens me and talk to me about that and give me mantally support,No,It's not good. I want to stay happy.,Sorry I have not overcome,"It's a very bad feeling. When I faces anxiety body starts shaking I am forced to grabbed something very tightly, also headache, it makes me cry badly . It's a very traumatic experience ",Yes,Neutral,Less effective,Not very helpful,No I am not experienced,I have no idea,Always keeps you busy so that you have not any time for overthinking
